E00121:9:H00UWALXX:7:1106:16945:3454	1000555	1000609	54
E00170:22:H00WVALXX:1:2224:31673:59130	1000556	1000610	54
E00170:22:H00WVALXX:1:1207:3882:5299	1000508	1000614	106
E00170:22:H00WVALXX:1:1220:10236:34834	1000541	1000616	75
E00121:9:H00UWALXX:7:1123:25837:56827	1000553	1000621	68
E00170:22:H00WVALXX:1:2106:29947:9624	1000537	1000622	85
E00170:22:H00WVALXX:1:2214:15717:5932	1000538	1000624	86
E00170:22:H00WVALXX:1:1210:14601:30685	1000533	1000626	93
E00170:22:H00WVALXX:1:2122:27542:59992	1000543	1000627	84
E00170:22:H00WVALXX:1:1118:29613:24550	1000573	1000629	56
E00170:22:H00WVALXX:1:1123:20853:45840	1000546	1000630	84
E00170:22:H00WVALXX:1:1124:30841:69749	1000560	1000633	73
E00170:22:H00WVALXX:1:1217:17118:10960	1000530	1000634	104
E00170:22:H00WVALXX:1:1222:17605:11699	1000531	1000635	104
E00170:22:H00WVALXX:1:2124:29968:51958	1000588	1000636	48
E00170:22:H00WVALXX:1:2124:29998:51975	1000589	1000637	48
E00125:9:H05MEALXX:7:2108:18437:8816	1000572	1000639	67
E00121:9:H00UWALXX:7:1107:26740:24462	1000559	1000648	89
E00170:22:H00WVALXX:1:1220:32607:13738	1000592	1000649	57
E00121:9:H00UWALXX:7:1119:18711:28382	1000646	1000650	4
E00125:9:H05MEALXX:7:2102:32333:34641	1000647	1000651	4
E00170:22:H00WVALXX:1:1107:21878:73318	1000653	1000654	1
E00170:22:H00WVALXX:1:1123:9678:21702	1000551	1000655	104
E00170:22:H00WVALXX:1:2107:22335:72069	1000564	1000658	94
E00170:22:H00WVALXX:1:1209:21401:72491	1000534	1000659	125
E00170:22:H00WVALXX:1:2106:25177:13914	1000598	1000661	63
E00170:22:H00WVALXX:1:2212:15271:23794	1000599	1000662	63
E00125:9:H05MEALXX:7:1217:27481:33797	1000605	1000665	60
E00170:22:H00WVALXX:1:1113:14286:14388	1000522	1000666	144
E00125:9:H05MEALXX:7:1123:28760:35344	1000561	1000667	106
